일자,지역,성별,연령,분야,건수
2025-08,부산광역시,남성,60,교통,68
2025-08,부산광역시,남성,60,국방,12
2025-08,부산광역시,남성,60,기타,12
2025-08,부산광역시,남성,60,노동,9
2025-08,부산광역시,남성,60,농림_축산,9
2025-08,부산광역시,남성,60,도로,56
2025-08,부산광역시,남성,60,도시,7
2025-08,부산광역시,남성,60,문화,14
2025-08,부산광역시,남성,60,방송통신,4
2025-08,부산광역시,남성,60,보건,7
2025-08,부산광역시,남성,60,복지,7
2025-08,부산광역시,남성,60,산업_통상,265
2025-08,부산광역시,남성,60,세무,11
2025-08,부산광역시,남성,60,수자원,12
2025-08,부산광역시,남성,60,외무통일,2
2025-08,부산광역시,남성,60,우정,4
2025-08,부산광역시,남성,60,재정,14
2025-08,부산광역시,남성,60,주택_건축,343
2025-08,부산광역시,남성,60,체육,8
2025-08,부산광역시,남성,60,해양수산,12
2025-08,부산광역시,남성,60,행정_안전,148
2025-08,부산광역시,남성,60,환경,20
2025-08,부산광역시,남성,70,경찰_검찰_법원,17
2025-08,부산광역시,남성,70,과학기술,3
2025-08,부산광역시,남성,70,관광,2
2025-08,부산광역시,남성,70,교육,3
2025-08,부산광역시,남성,70,교통,5
2025-08,부산광역시,남성,70,국방,3
2025-08,부산광역시,남성,70,기타,5
2025-08,부산광역시,남성,70,노동,7
2025-08,부산광역시,남성,70,농림_축산,1
2025-08,부산광역시,남성,70,도로,13
2025-08,부산광역시,남성,70,도시,2
2025-08,부산광역시,남성,70,문화,5
2025-08,부산광역시,남성,70,방송통신,2
2025-08,부산광역시,남성,70,보건,4
2025-08,부산광역시,남성,70,복지,1
2025-08,부산광역시,남성,70,산업_통상,11
2025-08,부산광역시,남성,70,세무,2
2025-08,부산광역시,남성,70,수자원,4
2025-08,부산광역시,남성,70,우정,1
2025-08,부산광역시,남성,70,재정,4
2025-08,부산광역시,남성,70,주택_건축,15
2025-08,부산광역시,남성,70,체육,2
2025-08,부산광역시,남성,70,해양수산,3
